,latitude,longitude
Vienna,48°12′30″N,16°22′21″E
"Malta, Austria",46°58′N,13°31′E
Salzburg,47°48′00″N,13°02′42″E
Braga,41°33′4″N,8°25′42″W
Lisbon,38°43′31″N,09°09′00″W
Bergen,60°23′22″N,5°19′48″E
Oslo,59°54′48″N,10°44′20″E
Eindhoven,51°26′N,5°29′E
Coimbra,40°12′10″N,8°24′50″W
Bergen op Zoom,51°30′N,4°18′E
Riga,56°56′56″N,24°6′23″E
Rotterdam,51°55′N,4°29′E
Warsaw West County,52°13′N,20°48′E
Utrecht,52°05′27″N,05°07′18″E
Warsaw,52°13′48″N,21°00′40″E
Amsterdam,52°22′22″N,04°53′37″E
Toulouse,43°36′16″N,1°26′38″E
Stavanger,58°58′12″N,05°43′53″E
Milanówek,52°7′N,20°39′E
Lyon,45°46′03″N,4°50′06″E
Greece,39°N,22°E
Paris,48°51′24″N,2°21′8″E
Seville,37°23′24″N,5°59′24″W
Valencia,39°28′12″N,00°22′35″W
Barcelona,41°23′N,2°11′E
City of Brussels,50°50′48″N,04°21′09″E
Cork (city),51°53′50″N,8°28′12″W
The Hague,52°04′48″N,04°18′36″E
Sofia,42°42′N,23°20′E
Prague,50°5′15″N,14°25′17″E
Madrid,40°25′01″N,03°42′12″W
Copenhagen,55°40′34″N,12°34′06″E
Bratislava,48°08′38″N,17°06′35″E
Gothenburg,57°42′27″N,11°58′03″E
Katowice–Ostrava metropolitan area,50°05′N,18°45′E
Venice,45°26′15″N,12°20′9″E
Turin,45°04′45″N,07°40′34″E
Naples,40°50′9″N,14°14′55″E
Florence,43°46′17″N,11°15′15″E
Rome,41°53′36″N,12°28′58″E
Dublin,53°21′00″N,06°15′37″W
Liverpool,53°24′26″N,2°59′30″W
Debrecen,47°31′54″N,21°37′28″E
Milan,45°28′01″N,09°11′24″E
Glasgow,55°51′40″N,04°15′00″W
Leeds,53°47′51″N,01°32′37″W
Edinburgh,55°57′N,3°11′W
Miskolc,48°06′15″N,20°47′30″E
Budapest,47°29′33″N,19°03′05″E
Stockholm,59°19′46″N,18°4′7″E
"Split, Croatia",43°30′36″N,16°26′24″E
Zagreb,45°48′47″N,15°58′39″E
Ljubljana,46°03′05″N,14°30′22″E
Thessaloniki,40°38′25″N,22°56′8″E
City of London,51°30′56″N,00°05′35″W
Hanover,52°22′N,9°43′E
Dresden,51°03′00″N,13°44′24″E
Leipzig,51°20′24″N,12°22′30″E
Cologne,50°56′11″N,6°57′10″E
Stuttgart,48°46′39″N,09°10′48″E
Luxembourg (Belgium),49°55′N,5°25′E
Hamburg,53°33′N,10°00′E
Dobrich,43°34′N,27°50′E
Berlin,52°31′12″N,13°24′18″E
Tampere,61°29′53″N,23°45′36″E
Munich,48°08′15″N,11°34′30″E
Tallinn,59°26′14″N,24°44′43″E
Arrondissement of Bruges,51°12′N,3°12′E
"Lozen, Sofia City Province",42°36′00″N,23°28′59″E
Antwerp,51°13′04″N,04°24′01″E
Helsinki,60°10′15″N,24°56′15″E
Canton of Zurich,47°22′N,8°33′E
Odense,55°23′45″N,10°23′19″E
Copenhagen metropolitan area,55°41′N,12°34′E
Brussels,50°50′48″N,04°21′09″E
Gentofte Municipality,55°45′02″N,12°33′08″E
